0 : 写在所有章节之前 
1 : 引子 
92 : 第九十一章 要做山贼土匪喽 
93 : 第九十二章 吃糖葫芦话佣兵 
94 : 第九十三章 俏紫翎的小九九 
95 : 第九十四章 长剑饮血姐妹怨 
96 : 第九十五章 龙牙鏖战狼尾关 
97 : 第九十六章 秘密玄灵通幽谷 
98 : 第九十七章 阴差阳错恶蜂毒 
99 : 第九十八章 蓝羽我替你报仇 
100 : 第九十九章 珊瑚华彩神光现 
101 : 第一百章 玄灵谷青云异变 
102 : 第一百零一章 白痴青云亦痴情 
103 : 第一百零二章 神奇羽毛神奇脸 
104 : 第一百零三章 我的小羽毛漂亮 
105 : 第一百零四章 蓝羽毁容激青云 
106 : 第一百零五章 可怜可怜辛白吧 
107 : 第一百零六章 摘星阁夏侯天天 
108 : 第一百零七章 一股魔气惊白城 
109 : 第一百零八章 蹊跷事件化血法 
110 : 第一百零九章 一抹桃花腮边绕 
111 : 第一百一十章 生相随死亦相伴 
112 : 第一百一十一章 紫翎驾到城主府 
113 : 第一百一十二章 妙手神技惊四座 
114 : 第一百一十三章 辛白荣升小队长 
115 : 第一百一十四章 奇幻之地玄灵谷 
116 : 第一百一十五章 玄灵盛典为蓝羽 
117 : 第一百一十六章 我们去吃霸王餐 
118 : 第一百一十七章 青云设计来救人 
119 : 第一百一十八章 又一个管闲事的 
120 : 第一百一十九章 赶路赶路再赶路 
121 : 第一百二十章 暂时投宿幻日城 
122 : 第一百二十一章 蓝羽施法救天天 
123 : 第一百二十二章 惊动了全城佣兵 
124 : 第一百二十三章 不期而遇的老妪 
125 : 第一百二十四章 穿越千年的眷恋 
126 : 第一百二十五章 青云火烧天华楼 
127 : 第一百二十六章 救人的恶魔青云 
128 : 第一百二十七章 暗道惊闻狼变术 
129 : 第一百二十八章 初识幻影化魅蛇 
130 : 第一百二十九章 魔神五芒束灵魂 
131 : 第一百三十章 隐雾关巧遇紫翎 
132 : 第一百三十一章 天天口中的恶魔 
133 : 第一百三十二章 黄沙镇解救紫翎 
134 : 第一百三十三章 联手恶战耀天门 
135 : 第一百三十四章 吞金火蚁多如潮 
136 : 第一百三十五章 黑色的灵魂之蝶 
137 : 第一百三十六章 连云堡下的战斗 
138 : 第一百三十七章 再战黄庭断水刀 
139 : 第一百三十八章 青云负伤连云堡 
140 : 第一百三十九章 逆天龙血的代价 
141 : 第一百四十章 不是时候的表白 
142 : 第一百四十一章 辛白的分形散影 
143 : 第一百四十二章 招来大雪救紫翎 
144 : 第一百四十三章 我从来没有来过 
145 : 第一百四十四章 是嘱托还是威胁 
146 : 第一百四十五章 紫翎意外的决定 
147 : 第一百四十六章 赤烟剑与传承者 
148 : 第一百四十七章 龙血山中的异动 
149 : 第一百四十八章 亲切的血脉联系 
150 : 第一百四十九章 巨龙坟茔的守护 
151 : 第一百五十章 祭祀林克的心思 
152 : 第一百五十一章 百变爪对羽蛇鞭 
153 : 第一百五十二章 五芒烙身从号令 
154 : 第一百五十三章 心灵深处的噩梦 
155 : 第一百五十四章 慕晴是个大叛徒 
156 : 第一百五十五章 绿漪沉醉迷人香 
157 : 第一百五十六章 一个天大的秘密 
158 : 第一百五十七章 忆往昔炼狱岛上 
159 : 第一百五十八章 极端心理应杀机 
160 : 第一百五十九章 极品香丸忘忧草 
161 : 第一百六十章 沉沦得没有底线 
162 : 第一百六十一章 龙血山天坑异变 
163 : 第一百六十二章 龙穴坑白骨石门 
164 : 第一百六十三章 十门九灵阴阳阵 
165 : 第一百六十四章 物极则变一而二 
166 : 第一百六十五章 险中求胜几丧命 
167 : 第一百六十六章 重睛雪鹤幻世眼 
168 : 第一百六十七章 夜色黑曜月之铃 
169 : 第一百六十八章 无妄巨口飞螣蛇 
170 : 第一百六十九章 阴阳索魂玄灵曜 
171 : 第一百七十章 天地我身化五芒 
172 : 第一百七十一章 狐假虎威好组合 
173 : 第一百七十二章 阴差阳错降虎狐 
174 : 第一百七十三章 第五灵符天之泪 
175 : 第一百七十四章 赤火为髓金为骨 
176 : 第一百七十五章 五芒炼体水为魂 
177 : 第一百七十六章 幽幽翠木通灵窍 
178 : 第一百七十七章 青莲九子印九灵 
179 : 第一百七十八章 石刻铁铸真青云 
180 : 第一百七十九章 氤氲化生境由心 
181 : 第一百八十章 悟道空空无色相 
182 : 第一百八十一章 龙血天泪魔王魂 
183 : 第一百八十二章 青云听恶魔传说 
184 : 第一百八十三章 黑煞大闹清雅轩 
185 : 第一百八十四章 我本名叫安素心 
186 : 第一百八十五章 太初重阳至玄元 
187 : 第一百八十六章 再入习水遇瘟神 
188 : 第一百八十七章 蓝羽善行解流毒 
189 : 第一百八十八章 青云五芒退林克 
190 : 第一百八十九章 拒马河边降林克 
191 : 第一百九十章 一切都和我有关 
192 : 第一百九十一章 初试玄元并太初 
193 : 第一百九十二章 玄甲血目两空空 
194 : 第一百九十三章 静心口诀除心魔 
195 : 第一百九十四章 重逢就在千变城 
196 : 第一百九十五章 缠缠绵绵小石楼 
197 : 第一百九十六章 胭脂鱼与九转珠 
198 : 第一百九十七章 意外受阻千变城 
199 : 第一百九十八章 云神医正是在下 
200 : 第一百九十九章 假神医会真首祭 
201 : 第二百章 得所愿再临离岛 
202 : 第二百零一章 离岛是个大圈套 
203 : 第二百零二章 望海一支竟还在 
204 : 第二百零三章 五轮太初青云式 
205 : 第二百零四章 铁甲战船争夺战 
206 : 第二百零五章 嬴鱼翻天困对手 
207 : 第二百零六章 青云对决林一尘 
208 : 第二百零七章 乌夜故地夜啼洞 
209 : 第二百零八章 洞中之洞洞生死 
210 : 第二百零九章 辛白放炮断后路 
211 : 第二百一十章 九转莫测危机时 
212 : 第二百一十一章 光影之门的背后 
213 : 第二百一十二章 莫非真是阴阳索 
214 : 第二百一十三章 意外之外的意外 
215 : 第二百一十四章 金莲花开琴声殇 
216 : 第二百一十五章 天下四洲隔七海 
217 : 第二百一十六章 逃跑神器越离岛 
218 : 第二百一十七章 辛白说离岛故事 
219 : 第二百一十八章 白骨海滩现城外 
220 : 第二百一十九章 对决神殿大祭祀 
221 : 第二百二十章 七绝摘星战神殿 
222 : 第二百二十一章 死寂笼罩千变城 
223 : 第二百二十二章 霹雳流火救紫翎 
224 : 第二百二十三章 万化三入千变城 
225 : 第二百二十四章 辛白简史五神剑 
226 : 第二百二十五章 神奇的太虚之界 
227 : 第二百二十六章 偷偷听来的秘密 
228 : 第二百二十七章 五位神符辛秘事 
229 : 第二百二十八章 愈是乱世愈纷争 
230 : 第二百二十九章 悬浮的风中之城 
231 : 第二百三十章 命运与信仰交织 
232 : 第二百三十一章 彼岸之花开彼岸 
233 : 第二百三十二章 青云魂飞冥岭殇 
234 : 第二百三十三章 浮生河与半间殿 
235 : 第二百三十四章 望月爷爷讲故事 
236 : 第二百三十五章 浮生河开异兽现 
237 : 第二百三十六章 启程的命运之舟 
238 : 第二百三十七章 蓝德血战断水河 
239 : 第二百三十八章 蓝羽断水河救父 
240 : 第二百三十九章 希望与情感纠葛 
241 : 第二百四十章 蓝羽出走风之城 
242 : 第二百四十一章 流民口中的青云 
243 : 第二百四十二章 山路遇袭共抗敌 
244 : 第二百四十三章 蓝羽出手救侄儿 
245 : 第二百四十四章 烽火燃起金沙城 
246 : 第二百四十五章 议事厅新帅立威 
247 : 第二百四十六章 蓝羽定计破敌军 
248 : 第二百四十七章 金沙城外初告捷 
249 : 第二百四十八章 金沙城门争夺战 
250 : 第二百四十九章 蓝羽面对召唤术 
251 : 第二百五十章 圣兽现身御强敌 
252 : 第二百五十一章 蓝羽落泪雨如注 
253 : 第二百五十二章 豪雨洪水淹敌兵 
254 : 第二百五十三章 希望之火可燎原 
255 : 第一百五十四章 假青云换真泪水 
256 : 第二百五十五章 独角圣兽月光铠 
257 : 第二百五十六章 六个人五枚神符 
258 : 第二百五十七章 昔日噩梦在眼前 
259 : 第二百五十八章 深蓝宗祠月心楼 
260 : 第二百五十九章 玄鸟乍现风之城 
261 : 第二百六十章 黑雪簌簌翠羽楼 
262 : 第二百六十一章 不欢而散龙牙怒 
263 : 第二百六十二章 习水国传位之危 
264 : 第二百六十三章 云杉禁林起风波 
265 : 第二百六十四章 塔楼专心解花毒 
266 : 第二百六十五章 圣兽现身翠羽楼 
267 : 第二百六十六章 九识入体救慕晴 
268 : 第二百六十七章 蓝水钟响惊王都 
269 : 第二百六十八章 稳定皇城计从长 
270 : 第二百六十九章 佣兵收复山阳城 
271 : 第二百七十章 寂静仙子风尊者 
272 : 第二百七十一章 创世之初话龙族 
273 : 第二百七十二章 珍馐堂和佣兵牌 
274 : 第二百七十三章 山阳城的夏耕尸 
275 : 第二百七十四章 就知道是你小子 
276 : 第二百七十五章 光芒跃动云之眼 
277 : 第二百七十六章 炼狱时代的记忆 
278 : 第二百七十七章 翠羽楼守孝三年 
279 : 第二百七十八章 引火禁林脱身计 
280 : 第二百七十九章 梦似芦花落水泽 
281 : 第二百八十章 浮生河彼岸重生 
282 : 第二百八十一章 纹面姑娘名阿萝 
283 : 第二百八十二章 玫瑰花开花如海 
284 : 第二百八十三章 六合如芥云飞渡 
285 : 第二百八十四章 银铃呼唤生命劫 
286 : 第二百八十五章 浅池边的哭泣声 
287 : 第二百八十六章 物是人非北芒寨 
288 : 第二百八十七章 一段凄美的传说 
289 : 第二百八十八章 我是谁我在哪里 
290 : 第二百八十九章 泠露洲龙族秘史 
291 : 第二百九十章 龙族的随生神器 
292 : 第二百九十一章 不是你的北芒寨 
293 : 第二百九十二章 回龙峪阿萝被擒 
294 : 第二百九十三章 妖类的东方家族 
295 : 第二百九十四章 阿萝见到了自己 
296 : 第二百九十五章 天塌地陷回龙峪 
297 : 第二百九十六章 回龙殿围攻青云 
298 : 第二百九十七章 七窍聆心作太虚 
299 : 第二百九十八章 心无妄动退烛影 
300 : 第二百九十九章 百天历练天经山 
301 : 第三百章 孤月黯淡思归人 
302 : 第三百零一章 没有颜色的颜色 
303 : 第三百零二章 战争规则和礼仪 
304 : 第三百零三章 极天甲士路之遥 
305 : 第三百零四章 青云的意外收获 
306 : 第三百零五章 买条商船出海去 
307 : 第三百零六章 冷雾凶险人心恶 
308 : 第三百零七章 原点即世界之心 
309 : 第三百零八章 搅海异兽名相柳 
310 : 第三百零九章 前方是回家的路 
311 : 第三百一十章 轮回封印镇凶兽 
312 : 第三百一十一章 雨住天青云遥遥 
313 : 第三百一十二章 墨鳞赤爪九头虺 
314 : 第三百一十三章 修明心恶名难消 
315 : 第三百一十四章 血河谷地三神兽 
316 : 第三百一十五章 三十兄弟回家了 
317 : 第三百一十六章 苏儿的神奇礼物 
318 : 第三百一十七章 飞冥护身披龙鳞 
319 : 第三百一十八章 恶魔亮相夹江城 
320 : 第三百一十九章 夹江又见阴阳索 
321 : 第三百二十章 恶魔的怜悯之心 
322 : 第三百二十一章 不见繁华山岚城 
323 : 第三百二十二章 天目镇大战在即 
324 : 第三百二十三章 玄元潜伏来观战 
325 : 第三百二十四章 傻哥遇到真傻妞 
326 : 第三百二十五章 戚风小城遇故人 
327 : 第三百二十六章 居龙兴细说轮回 
328 : 第三百二十七章 夏侯暗算风尊者 
329 : 第三百二十八章 月下无魂柳九阴 
330 : 第三百二十九章 紫背噬神阴阳索 
331 : 第三百三十章 十载重回葬花泽 
332 : 第三百三十一章 黄金耀眼蝶儿魅 
333 : 第三百三十二章 驭心台深夜探奇 
334 : 第三百三十三章 回龙驭天难驭心 
335 : 第三百三十四章 琴冢亭神秘女人 
336 : 第三百三十五章 你没有权力放弃 
337 : 第三百三十六章 客栈惊现魅蛇影 
338 : 第三百三十七章 相见即是长离别 
339 : 第三百三十八章 乱纷纷河湾会盟 
340 : 第三百三十九章 是谁劫持了小天 
341 : 第三百四十章 也许我不该回来 
342 : 第三百四十一章 与生俱来舔犊情 
343 : 第三百四十二章 暂时留在南盘山 
344 : 第三百四十三章 八荒为身心九垓 
345 : 第三百四十四章 冰封天池斗雪狼 
346 : 第三百四十五章 祖龙的诡秘心思 
347 : 第三百四十六章 对面凝视不相见 
348 : 第三百四十七章 翠羽楼外的变故 
349 : 第三百四十八章 万物之源因衍化 
350 : 第三百四十九章 青云苦战三神王 
351 : 第三百五十章 我来是为了联姻 
352 : 第三百五十一章 梦境与死亡交织 
353 : 第三百五十二章 月夜里鏖战丰城 
354 : 第三百五十三章 一次神力小碰撞 
355 : 第三百五十四章 消失之后的消失 
356 : 第三百五十五章 麻烦缠身祸事起 
357 : 第三百五十六章 阴阳索魂化血法 
358 : 第三百五十七章 河湾城会盟破裂 
359 : 第三百五十八章 安素心送归银铃 
360 : 第三百五十九章 奇异光芒幻银铃 
361 : 第三百六十章 三生咒与破玉符 
362 : 第三百六十一章 怪异的五芒星阵 
363 : 第三百六十二章 玄灵谷内见故人 
364 : 第三百六十三章 飞冥甲故弄玄虚 
365 : 第三百六十四章 乌夜纠纠夜啼缭 
366 : 第三百六十五章 恶魔青云的暗器 
367 : 第三百六十六章 刺青图案藏秘密 
368 : 第三百六十七章 胜利者保持微笑 
369 : 第三百六十八章 海中再会九头虺 
370 : 第三百六十九章 梼杌合魂授心诀 
371 : 第三百七十章 恶魔白城匿踪迹 
372 : 第三百七十一章 纵火焚身又焚城 
373 : 第三百七十二章 无光无象曰无极 
374 : 第三百七十三章 无极和流火之变 
375 : 第三百七十四章 是那该死的青云 
376 : 第三百七十五章 潮汐湖坐而论道 
377 : 第三百七十六章 萧龙战的传送阵 
378 : 第三百七十七章 冤家路窄会鬼影 
379 : 第三百七十八章 双刀交叠战群兽 
380 : 第三百七十九章 除魔入魔魔龙现 
381 : 第三百八十章 坏事做尽的恶魔 
382 : 第三百八十一章 打击连连心灰冷 
383 : 第三百八十二章 清川江边落重围 
384 : 第三百八十三章 魔龙六现元神灭 
385 : 第三百八十四章 椋金湖边悲情续 
386 : 第三百八十五章 流火只为你盛放 
387 : 第三百八十六章 五芒之魂归于寂 
388 : 第三百八十七章 荧惑陨落引灾劫 
389 : 第三百八十八章 天上掉下柳九阴 
390 : 第三百八十九章 你可以叫我小蝶 
391 : 第三百九十章 我叫她虿女驭心 
392 : 第三百九十一章 听天道万劫九转 
393 : 第三百九十二章 苦寒北荒遗忘地 
394 : 第三百九十三章 女神印记图腾纹 
395 : 第三百九十四章 或许是一场好梦 
396 : 第三百九十五章 我没有地方好去 
397 : 第三百九十六章 幽影之墙隔阴阳 
398 : 第三百九十七章 幽影重现血池边 
399 : 第三百九十八章 破墙者幽魅九阴 
400 : 第三百九十九章 为什么她来救我 
401 : 第四百章 无漏大师的苦心 
402 : 第四百零一章 这是纹儿的选择 
403 : 第四百零二章 勾陈之灵九转珠 
404 : 第四百零三章 我似乎到过这里 
405 : 第四百零四章 血之泾河遇强敌 
406 : 第四百零五章 初识结界几丧命 
407 : 第四百零六章 法天道即修心道 
408 : 第四百零七章 神都云翼城之变 
409 : 第四百零八章 都是有故事的人 
410 : 第四百零九章 乌金碑上驭心痛 
411 : 第四百一十章 旧疾复发狱中亡 
412 : 第四百一十一章 云翼城陷落之痛 
413 : 第四百一十二章 火上浇油毁神都 
414 : 第四百一十三章 九阴生擒罗刹女 
415 : 第四百一十四章 燃尘垢盛放如莲 
416 : 第四百一十五章 无色无双雌雄刀 
417 : 第四百一十六章 混元山前的迷茫 
418 : 第四百一十七章 九阴初试无色刀 
419 : 第四百一十八章 你干嘛要这样做 
420 : 第四百一十九章 离开那个臭女人 
421 : 第四百二十章 点点泪落指尖沙 
422 : 第四百二十一章 月下无魂魔之始 
423 : 第四百二十二章 铃铛的涡旋徽记 
424 : 第四百二十三章 打破的幽影之墙 
425 : 第四百二十四章 我来做你的人质 
426 : 第四百二十五章 公平的生命交易 
427 : 第四百二十六章 北荒尽头朔方城 
428 : 第四百二十七章 五芒星轮吞幽冥 
429 : 第四百二十八章 另一种方式活着 
430 : 第四百二十九章 隐秘的地下之城 
431 : 第四百三十章 苍月的生命之殇 
432 : 第四百三十一章 九阴的血腥复仇 
433 : 第四百三十二章 夺回天越的尊严 
434 : 第四百三十三章 北荒霜城两情劫 
435 : 第四百三十四章 在你心中你是谁 
436 : 第四百三十五章 冥冥中早有定数 
437 : 第四百三十六章 端木纹殒命霜城 
438 : 第四百三十七章 神通寰宇力无边 
439 : 第四百三十八章 幽蓝眸子绝情剑 
440 : 第四百三十九章 是九阴还是青云 
441 : 第四百四十章 逃不脱噩梦重现 
442 : 第四百四十一章 谷口游家四小天 
443 : 第四百四十二章 还是等等再死吧 
444 : 第四百四十三章 冥冥中再次相见 
445 : 第四百四十四章 麻烦制造者来了 
446 : 第四百四十五章 逐风之剑授天青 
447 : 第四百四十六章 恶魔的重重考验 
448 : 第四百四十七章 轰动白城的财主 
449 : 第四百四十八章 主场发威的天青 
450 : 第四百四十九章 天青扬威竞技场 
451 : 第四百五十章 味道苦涩的泪水 
452 : 第四百五十一章 有悲痛更有惊喜 
453 : 第四百五十二章 寻找出走的天青 
454 : 第四百五十三章 不是那个蓝家港 
455 : 第四百五十四章 重逢只交一坛酒 
456 : 第四百五十五章 莫名其妙的仇人 
457 : 第四百五十六章 痛彻心扉银月铃 
458 : 第四百五十七章 小魔女海上横渡 
459 : 第四百五十八章 血河谷地云芒氏 
460 : 第四百五十九章 地宫神坛活人祭 
461 : 第四百六十章 你当真是一条龙 
462 : 第四百六十一章 洪荒殿契约之刃 
463 : 第四百六十二章 讹兽察察的秘密 
464 : 第四百六十三章 再见望月和千颜 
465 : 第四百六十四章 妖族巫王忽现身 
466 : 第四百六十五章 召唤契约守望者 
467 : 第四百六十六章 青云口中的轮回 
468 : 第四百六十七章 再次踏入冷雾海 
469 : 第四百六十八章 幽影墙下遇劲敌 
470 : 第四百六十九章 天道的悲惨际遇 
471 : 第四百七十章 力量轮回的秘密 
472 : 第四百七十一章 你记得就是永远 
473 : 第四百七十二章 圣心闪耀无色刀 
474 : 第四百七十三章 部族纹章的由来 
475 : 第四百七十四章 幽灵皇甫岱选择 
476 : 第四百七十五章 胜负在毫厘之间 
477 : 第四百七十六章 畏惧力量的恶魔 
478 : 第四百七十七章 苏儿重回血河洲 
479 : 第四百七十八章 各有各的大计划 
480 : 第四百七十九章 青云决意启神决 
481 : 第四百八十章 索取终究是回报 
482 : 第四百八十一章 战备中的金戈城 
483 : 第四百八十二章 我该如何称呼你 
484 : 第四百八十三章 积尸岭遇林一尘 
485 : 第四百八十四章 是禁制还是终点 
486 : 第四百八十五章 寒烟居往事迷云 
487 : 第四百八十六章 塔尔城战争在即 
488 : 第四百八十七章 青云诉说心里话 
489 : 第四百八十八章 发兵争战的理由 
490 : 第三百八十九章 消失的驭心高台 
491 : 第四百九十章 寄生蜉蝣天地阔 
492 : 第四百九十一章 其生若浮死若休 
493 : 第四百九十二章 我要与天下为敌 
494 : 第四百九十三章 习水帝国的隐忧 
495 : 第四百九十四章 妒火中烧的苏儿 
496 : 第四百九十五章 辛白说退十万兵 
497 : 第四百九十六章 月夜里戎鲛来袭 
498 : 第四百九十七章 合力恶斗九头虺 
499 : 第四百九十八章 情到深处何尤怨 
500 : 第四百九十九章 碧天国霜城之围 
501 : 第五百章 大恶魔的小伎俩 
502 : 第五百零一章 有莲而生结九子 
503 : 第五百零二章 落跑新郎程辛白 
504 : 第五百零三章 异度空间暗之殿 
505 : 第五百零四章 阿萝的生命流光 
506 : 第五百零五章 生于道死亦于道 
507 : 第五百零六章 青云重返平步城 
508 : 第五百零七章 不觉技痒的小贼 
509 : 第五百零八章 风诡云谲玄灵谷 
510 : 第五百零九章 哭泣的天泪之眼 
511 : 第五百一十章 落魂镇的那一夜 
512 : 第五百一十一章 八脉枪和勾陈兽 
513 : 第五百一十二章 烛影戒指的秘密 
514 : 第五百一十三章 夏岛对决玄火凰 
515 : 第五百一十四章 玄火之凰的毁灭 
516 : 第五百一十五章 天泪点点战驭心 
517 : 第五百一十六章 宿命中的再轮回 
518 : 第五百一十七章 等待复苏的生命 
519 : 第五百一十八章 契约殿外硝烟起 
520 : 第五百一十九章 只是天儿的母亲 
521 : 第五百二十章 情似重天恨如海 
522 : 第五百二十一章 不期而遇的战斗 
523 : 第五百二十二章 宝鉴含光人憔悴 
524 : 第五百二十三章 千影城攻守之战 
525 : 第五百二十四章 驶向冷雾海的船 
526 : 第五百二十五章 一封奇怪的信札 
527 : 第五百二十六章 冰窟中的怪老头 
528 : 第五百二十七章 暂解碧天国之危 
529 : 第五百二十八章 尽管去做就好了 
530 : 第五百二十九章 危局中的新女王 
531 : 第五百三十章 鬼面战士传威名 
532 : 第五百三十一章 出人意料的王位 
533 : 第五百三十二章 再解平步城之围 
534 : 第五百三十三章 狼尾关前遇端木 
535 : 第五百三十四章 天青奇袭克尕城 
536 : 第五百三十五章 神光护体佑圣王 
537 : 第五百三十六章 山岚旧地风云变 
538 : 第五百三十七章 群力谋取千影城 
539 : 第五百三十八章 极天冰封千影城 
540 : 第五百三十九章 鹰巢之主殒性命 
541 : 第五百四十章 天青口中的恶魔 
542 : 第五百四十一章 谷口小城的归属 
543 : 第五百四十二章 雀鸣山南多纷扰 
544 : 第五百四十三章 阜中城母子重逢 
545 : 第五百四十四章 魔剑噬心又何妨 
546 : 第五百四十五章 赤烟染血锋芒盛 
547 : 第五百四十六章 梼杌命丧河湾城 
548 : 第五百四十七章 真正的圣心之王 
549 : 第五百四十八章 天罗地网蓝家港 
550 : 第五百四十九章 只要圣心王之位 
551 : 第五百五十章 金戈城东方奇谋 
552 : 第五百五十一章 雀鸣山伏击妙手 
553 : 第五百五十二章 紫翎的突然改变 
554 : 第五百五十三章 黄土岗祖龙重生 
555 : 第五百五十四章 复活需要好日子 
556 : 第五百五十五章 不是结局的结局 
557 : 《辛白外传》之一 辛白其人 
558 : 《辛白外传》之二 原点之惑 
559 : 《辛白外传》之三 忘忧毒草 
560 : 《辛白外传》之四 洪荒神殿 
561 : 《辛白外传》之五 生命恩赐 
562 : 《辛白外传》之六 感受轮回 
